year,bhk,furnished_type,property_age,aqi,urban_sprawl_index,flood_percentage,rainfall_mm,night_life_score,price_inr
2024,4,Semi-Furnished,12,233,0.29,0.06,1725.1,9,1087000
2021,4,Semi-Furnished,21,179,0.85,0.27,1829.9,1,870500
2022,1,Unfurnished,7,133,0.52,0.17,1692.6,2,318500
2024,3,Furnished,20,110,0.72,0.56,1567.4,5,958000
2020,2,Semi-Furnished,10,248,0.48,0.24,1735.9,9,554000
2022,2,Furnished,10,107,0.74,0.53,1229.5,5,757500
2022,3,Unfurnished,12,169,0.91,0.18,1490.3,7,795000
2024,1,Furnished,2,85,0.76,0.5,1951.4,6,706000
2019,4,Unfurnished,5,113,0.74,0.27,1808.6,6,945500
2020,2,Semi-Furnished,23,171,0.81,0.02,1926.3,2,492000
2024,3,Furnished,9,187,0.6,0.29,1967.4,8,1024500
2020,2,Unfurnished,18,88,0.38,0.14,1587.2,6,519000
2020,2,Unfurnished,11,172,0.85,0.18,1196.2,4,471000
2022,3,Semi-Furnished,13,177,0.72,0.41,1741.1,7,828500
2021,1,Semi-Furnished,10,91,0.45,0.32,1007.3,9,526000
2020,2,Semi-Furnished,20,95,0.42,0.53,1089.1,7,567500
2023,2,Unfurnished,24,150,0.6,0.56,1286.1,6,476000
2022,1,Semi-Furnished,9,238,0.37,0.41,1015.2,2,300000
2019,3,Unfurnished,2,240,0.9,0.52,1683.4,3,552000
2021,2,Furnished,12,214,0.83,0.12,1816.6,7,721000
2023,2,Semi-Furnished,17,82,0.45,0.05,1753.8,1,640500
2023,2,Semi-Furnished,12,227,0.24,0.2,1144.5,1,477000
2019,2,Unfurnished,23,84,0.24,0.2,1803.9,3,385000
2021,1,Furnished,13,117,0.44,0.4,1828.5,5,492000
2022,2,Semi-Furnished,13,158,0.32,0.5,1096.5,3,514000
2018,2,Furnished,6,178,0.9,0.18,1492.4,9,735000
2021,3,Unfurnished,11,230,0.54,0.25,1688.1,7,661500
2019,3,Semi-Furnished,24,81,0.48,0.06,1406.7,2,708000
2023,2,Semi-Furnished,3,179,0.37,0.25,1889.3,3,615500
2022,1,Unfurnished,15,228,0.87,0.13,1529.1,3,300000
2021,2,Semi-Furnished,18,221,0.83,0.23,1122.1,9,607500
2018,1,Unfurnished,9,218,0.51,0.16,1530.4,7,300000
2018,1,Unfurnished,15,211,0.34,0.49,1577.4,3,300000
2020,2,Unfurnished,4,126,0.96,0.0,1953.6,1,530000
2020,2,Semi-Furnished,15,195,0.45,0.2,1422.0,4,485000
